channel_name,cell_type,PSNR,eig1,eig2,eig3,converged,PSNR1,PSNR2,weight1,weight2,inner_product
46b,unknown,6.176080657602862,0.558056824089679,0.5547184750275523,0.5494978955870755,True,5.821469736499703,5.6644149980357215,0.518584118761337,0.4814158812386624,-0.3003947329660942
48a,unknown,5.290354869071482,0.4031606444975596,0.40088181717299054,0.3967505164750536,True,5.705121349371149,5.93190759282864,0.511673041340078,0.48832695865992276,-0.2387479149880624
48b,unknown,14.34346241778036,0.4823857223418607,0.4755283648631432,0.4731007275835404,True,8.05858100271266,6.443946990749194,0.5190525539028025,0.4809474460971968,-0.25429738558469495
52a,OFF,13.957379033154007,0.6933117616110661,0.6770121671696232,0.6727693928386493,True,10.666053304353786,11.20226649872009,0.35706046175637157,0.6429395382436296,0.07173690118204622
52b,OFF,14.200521608993222,1.3789708333763973,1.1082937977545246,1.0785094703155924,True,14.336138432672554,4.144512795076242,0.9904284810153422,0.009571518984657862,0.48309143686502176
53a,OFF,26.632745704057918,0.5791369170454446,0.5581200135218762,0.5562603687440199,True,22.45299354094289,13.682845515094021,0.5368463679401616,0.4631536320598375,-0.01965928301332543
53b,OFF,19.471693041640265,0.5294784199452282,0.49951534391617997,0.4963983492168631,True,18.130053525499797,10.330410911303675,0.5395445554238041,0.46045544457619697,-0.25401010535548185
53c,OFF,15.963106270525671,0.6445907787958646,0.6328881819968049,0.6246402264471326,True,8.198695007209807,15.703178653373424,0.06269222756402451,0.9373077724359752,0.2749153295208484
54a,ON,18.888743603605022,0.47820577238839485,0.4704198913222495,0.46850368889594407,True,10.70143286294821,10.215132957594854,0.5025006704078695,0.4974993295921298,-0.19104412338930105
54b,OFF,24.162410713588876,0.640489739157858,0.5930886838981937,0.5856866854826124,True,13.482573543880743,21.469810301266044,0.4416613328031544,0.5583386671968443,0.02852236324403233
54c,unknown,10.56711540389329,0.5224406538390794,0.5216265695536024,0.5135241376148351,True,6.175604645215409,6.2593086856395885,0.4919915207562923,0.5080084792437075,-0.27360835521383575
54d,ON,19.675728261553434,0.9271838887969193,0.7597601116739227,0.752497073356443,True,8.52913180529008,19.584524728217954,0.36241029535034675,0.6375897046496541,-0.06450554759084959
54e,ON,19.820586035750186,0.9702417436836592,0.9290753517526299,0.9017967853720189,True,19.74561665993665,7.989330592841567,0.9107493727150294,0.08925062728497041,0.6606261180679786
54f,ON,18.922315474136607,1.0798262921947528,1.0525948409627832,0.9916701172879095,True,19.001079608533733,6.25458106052531,0.8459131653568468,0.15408683464315376,0.2718325051042027
55a,OFF,17.8746710563349,1.257318591997209,1.183458528969181,1.1744598633575407,True,18.137468628514668,6.993482575499756,0.9613727091197729,0.03862729088022724,0.7369731006094644
55b,OFF,16.06242353633159,1.451286396131139,1.4021711491276285,1.3046083887321442,True,16.231347370236705,6.383641448441267,0.9323901256200537,0.0676098743799468,0.5977877463384709
56a,unknown,6.698546549413152,0.45982924096052097,0.4444389228809746,0.44119356927964576,True,6.1380154293989495,6.122225169759052,0.49394840676554597,0.5060515932344545,-0.2537710870071649
58a,OFF,15.719205818174261,1.0948200067048433,1.0168440487484347,0.9268081278721986,True,15.717747274939743,4.524681694869764,0.992208841107185,0.007791158892815753,-0.11516213133452807
58b,unknown,5.893477743491744,2.049720904354472,1.9412793906455292,1.9075158472630045,True,5.745806072815387,6.530442421977384,0.8648864579091687,0.13511354209083146,0.15752087260974962
58c,unknown,5.755420117704568,2.942510553137028,2.4458925450127826,2.2332237093506864,True,6.040392855062413,5.14202302549336,0.950526002732448,0.049473997267552416,0.15863746958637445
58d,unknown,5.540967546877266,2.1855721109992676,2.0199763922227585,1.9444121471973532,True,5.967689381508558,4.437608236886525,0.9668426112175439,0.03315738878245613,-0.1658385093167699
64a,OFF,25.192854334158323,0.4642541848910015,0.46279269361187536,0.4560520898549864,True,17.919978221590494,11.643522277654299,0.5343177107660684,0.46568228923393207,-0.13363784934353687
64b,OFF,23.344654357633374,0.60273309511208,0.54208765035481,0.5365213173546289,True,20.457861704246465,15.065942234375772,0.5385333701040739,0.46146662989592574,0.03273563918706365
64c,OFF,16.439900297964492,1.9240043509295786,1.8849812161468633,1.7982311653823582,True,16.13736518072123,5.060496552130352,0.9588301769354572,0.0411698230645427,0.44332298136645953
65a,unknown,9.22582274129435,0.40687516904575216,0.4017046932576526,0.40067923320962745,True,6.720500403085111,5.878994635516836,0.4867631613066018,0.5132368386933988,-0.239623793338176
66a,unknown,5.707585284875377,4.835761639015071,3.614899443437517,3.253507437425265,True,4.098309466236985,5.426778955757782,0.049004326857290025,0.95099567314271,-0.10763888888888903
